team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over,Team,Opponent,is_winner,is_toss_winner,team_role,toss_advantage,high_pressure_match
Mumbai Indians,Gujarat Lions,2017-04-16,Mumbai Indians,field,Mumbai Indians,N Rana,Wankhede Stadium,Mumbai,"PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, HH Pandya, KH Pandya, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah","DR Smith, BB McCullum, SK Raina, Ishan Kishan, KD Karthik, JJ Roy, RA Jadeja, P Kumar, Basil Thampi, AJ Tye, MM Patel",2017,17,League,runs,27.0,162.0,20.0,N,Gujarat Lions,Mumbai Indians,0,0,Defending,0,0
Delhi Capitals,Kolkata Knight Riders,2017-04-17,Delhi Capitals,bat,Kolkata Knight Riders,NM Coulter-Nile,Feroz Shah Kotla,Delhi,"SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant, AD Mathews, CH Morris, PJ Cummins, Mohammed Shami, A Mishra, Z Khan","G Gambhir, C de Grandhomme, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, CR Woakes, SP Narine, NM Coulter-Nile, Kuldeep Yadav, UT Yadav",2017,18,League,wickets,4.0,169.0,20.0,N,Kolkata Knight Riders,Delhi Capitals,1,0,Chasing,0,1
Sunrisers Hyderabad,Punjab Kings,2017-04-17,Punjab Kings,field,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, NV Ojha, DJ Hooda, Mohammad Nabi, Rashid Khan, B Kumar, BB Sran, S Kaul","HM Amla, M Vohra, GJ Maxwell, EJG Morgan, DA Miller, WP Saha, AR Patel, MM Sharma, KC Cariappa, I Sharma, Sandeep Sharma",2017,19,League,runs,5.0,160.0,20.0,N,Punjab Kings,Sunrisers Hyderabad,0,1,Chasing,0,0
Gujarat Lions,Royal Challengers Bengaluru,2017-04-18,Gujarat Lions,field,Royal Challengers Bengaluru,CH Gayle,Saurashtra Cricket Association Stadium,Rajkot,"DR Smith, BB McCullum, SK Raina, AJ Finch, KD Karthik, RA Jadeja, Ishan Kishan, AJ Tye, Basil Thampi, DS Kulkarni, S Kaushik","CH Gayle, V Kohli, TM Head, KM Jadhav, SR Watson, Mandeep Singh, STR Binny, P Negi, AF Milne, S Aravind, YS Chahal",2017,20,League,runs,21.0,214.0,20.0,N,Royal Challengers Bengaluru,Gujarat Lions,1,0,Defending,0,0
Sunrisers Hyderabad,Delhi Capitals,2017-04-19,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, Rashid Khan, Mohammed Siraj, S Kaul","SV Samson, SW Billings, KK Nair, RR Pant, SS Iyer, AD Mathews, CH Morris, J Yadav, PJ Cummins, A Mishra, Z Khan",2017,21,League,runs,15.0,192.0,20.0,N,Delhi Capitals,Sunrisers Hyderabad,0,0,Chasing,0,0
Punjab Kings,Mumbai Indians,2017-04-20,Mumbai Indians,field,Mumbai Indians,JC Buttler,Holkar Cricket Stadium,Indore,"HM Amla, SE Marsh, WP Saha, GJ Maxwell, MP Stoinis, AR Patel, Gurkeerat Singh, Swapnil Singh, MM Sharma, Sandeep Sharma, I Sharma","PA Patel, JC Buttler, N Rana, HH Pandya, RG Sharma, KA Pollard, KH Pandya, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah",2017,22,League,wickets,8.0,199.0,20.0,N,Mumbai Indians,Punjab Kings,1,1,Chasing,1,1
Kolkata Knight Riders,Gujarat Lions,2017-04-21,Gujarat Lions,field,Gujarat Lions,SK Raina,Eden Gardens,Kolkata,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, Shakib Al Hasan, CR Woakes, NM Coulter-Nile, Kuldeep Yadav, UT Yadav","AJ Finch, BB McCullum, SK Raina, KD Karthik, Ishan Kishan, DR Smith, RA Jadeja, JP Faulkner, P Kumar, Basil Thampi, DS Kulkarni",2017,23,League,wickets,4.0,188.0,20.0,N,Gujarat Lions,Kolkata Knight Riders,1,1,Chasing,1,1
Rising Pune Supergiant,Sunrisers Hyderabad,2017-04-22,Rising Pune Supergiant,field,Rising Pune Supergiant,MS Dhoni,Maharashtra Cricket Association Stadium,Pune,"AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, BA Stokes, MK Tiwary, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir","DA Warner, S Dhawan, KS Williamson, MC Henriques, DJ Hooda, NV Ojha, Bipul Sharma, B Kumar, Rashid Khan, Mohammed Siraj, S Kaul",2017,24,League,runs,14.0,143.0,20.0,N,Sunrisers Hyderabad,Rising Pune Supergiant,0,0,Defending,0,0
Mumbai Indians,Delhi Capitals,2017-04-22,Delhi Capitals,field,Mumbai Indians,MJ McClenaghan,Wankhede Stadium,Mumbai,"PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, MJ McClenaghan, MG Johnson, JJ Bumrah","SV Samson, AP Tare, KK Nair, SS Iyer, CJ Anderson, RR Pant, K Rabada, CH Morris, PJ Cummins, A Mishra, Z Khan",2017,25,League,wickets,6.0,177.0,20.0,N,Delhi Capitals,Mumbai Indians,0,1,Chasing,0,0
Kolkata Knight Riders,Royal Challengers Bengaluru,2017-04-23,Royal Challengers Bengaluru,field,Kolkata Knight Riders,NM Coulter-Nile,Eden Gardens,Kolkata,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","CH Gayle, V Kohli, Mandeep Singh, AB de Villiers, KM Jadhav, STR Binny, P Negi, S Badree, TS Mills, S Aravind, YS Chahal",2017,26,League,runs,26.0,189.0,20.0,N,Royal Challengers Bengaluru,Kolkata Knight Riders,0,1,Chasing,0,0
Gujarat Lions,Punjab Kings,2017-04-23,Gujarat Lions,field,Punjab Kings,HM Amla,Saurashtra Cricket Association Stadium,Rajkot,"BB McCullum, AJ Finch, SK Raina, KD Karthik, RA Jadeja, DR Smith, AD Nath, AJ Tye, Basil Thampi, SS Agarwal, NB Singh","M Vohra, HM Amla, SE Marsh, GJ Maxwell, MP Stoinis, AR Patel, WP Saha, MM Sharma, KC Cariappa, T Natarajan, Sandeep Sharma",2017,27,League,runs,82.0,132.0,20.0,N,Punjab Kings,Gujarat Lions,1,0,Defending,0,0
Mumbai Indians,Rising Pune Supergiant,2017-04-24,Mumbai Indians,field,Rising Pune Supergiant,BA Stokes,Wankhede Stadium,Mumbai,"PA Patel, JC Buttler, N Rana, RG Sharma, KV Sharma, KA Pollard, HH Pandya, Harbhajan Singh, MJ McClenaghan, MG Johnson, JJ Bumrah","AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, BA Stokes, MK Tiwary, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir",2017,28,League,runs,3.0,161.0,20.0,N,Rising Pune Supergiant,Mumbai Indians,1,0,Defending,0,1
Rising Pune Supergiant,Kolkata Knight Riders,2017-04-26,Kolkata Knight Riders,field,Kolkata Knight Riders,RV Uthappa,Maharashtra Cricket Association Stadium,Pune,"AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, MK Tiwary, DT Christian, F du Plessis, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir","SP Narine, G Gambhir, RV Uthappa, DM Bravo, MK Pandey, YK Pathan, C de Grandhomme, CR Woakes, PP Chawla, Kuldeep Yadav, UT Yadav",2017,29,League,wickets,7.0,183.0,20.0,N,Kolkata Knight Riders,Rising Pune Supergiant,1,1,Chasing,1,1
Royal Challengers Bengaluru,Gujarat Lions,2017-04-27,Gujarat Lions,field,Gujarat Lions,AJ Tye,M Chinnaswamy Stadium,Bangalore,"CH Gayle, V Kohli, AB de Villiers, TM Head, KM Jadhav, Mandeep Singh, P Negi, S Badree, S Aravind, A Choudhary, YS Chahal","Ishan Kishan, BB McCullum, SK Raina, AJ Finch, RA Jadeja, KD Karthik, JP Faulkner, AJ Tye, Basil Thampi, NB Singh, Ankit Soni",2017,30,League,wickets,7.0,135.0,20.0,N,Gujarat Lions,Royal Challengers Bengaluru,1,1,Chasing,1,1
Punjab Kings,Sunrisers Hyderabad,2017-04-28,Punjab Kings,field,Sunrisers Hyderabad,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"MJ Guptill, M Vohra, SE Marsh, GJ Maxwell, EJG Morgan, WP Saha, AR Patel, Anureet Singh, MM Sharma, I Sharma, KC Cariappa","DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, A Nehra, S Kaul, Rashid Khan",2017,31,League,wickets,7.0,161.0,20.0,N,Sunrisers Hyderabad,Punjab Kings,1,0,Defending,0,1
Kolkata Knight Riders,Delhi Capitals,2017-04-28,Kolkata Knight Riders,field,Kolkata Knight Riders,G Gambhir,Eden Gardens,Kolkata,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, SP Jackson, YK Pathan, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","SV Samson, KK Nair, SS Iyer, RR Pant, CH Morris, CJ Anderson, AR Bawne, PJ Cummins, K Rabada, A Mishra, Z Khan",2017,32,League,runs,26.0,208.0,20.0,N,Delhi Capitals,Kolkata Knight Riders,0,0,Defending,0,0
Rising Pune Supergiant,Royal Challengers Bengaluru,2017-04-29,Royal Challengers Bengaluru,field,Rising Pune Supergiant,LH Ferguson,Maharashtra Cricket Association Stadium,Pune,"AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, MS Dhoni, DT Christian, Washington Sundar, LH Ferguson, JD Unadkat, DL Chahar, Imran Tahir","TM Head, V Kohli, AB de Villiers, KM Jadhav, Sachin Baby, STR Binny, P Negi, AF Milne, S Badree, S Aravind, YS Chahal",2017,33,League,runs,61.0,158.0,20.0,N,Royal Challengers Bengaluru,Rising Pune Supergiant,0,1,Chasing,0,0
Gujarat Lions,Mumbai Indians,2017-04-29,Gujarat Lions,bat,,KH Pandya,Saurashtra Cricket Association Stadium,Rajkot,"Ishan Kishan, BB McCullum, SK Raina, AJ Finch, KD Karthik, RA Jadeja, JP Faulkner, IK Pathan, AJ Tye, Basil Thampi, Ankit Soni","PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga",2017,34,League,tie,,154.0,20.0,Y,Mumbai Indians,Gujarat Lions,0,0,Chasing,0,0
Sunrisers Hyderabad,Kolkata Knight Riders,2017-04-30,Kolkata Knight Riders,field,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, NV Ojha, Bipul Sharma, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj","SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SP Jackson, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav",2017,35,League,wickets,10.0,68.0,20.0,N,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,Chasing,0,0
Punjab Kings,Delhi Capitals,2017-04-30,Punjab Kings,field,Punjab Kings,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"MJ Guptill, HM Amla, M Vohra, SE Marsh, GJ Maxwell, WP Saha, AR Patel, MM Sharma, VR Aaron, Sandeep Sharma, T Natarajan","SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant, CJ Anderson, CH Morris, K Rabada, A Mishra, Mohammed Shami, S Nadeem",2017,36,League,runs,48.0,210.0,20.0,N,Delhi Capitals,Punjab Kings,0,0,Defending,0,0
Rising Pune Supergiant,Gujarat Lions,2017-05-01,Rising Pune Supergiant,field,Rising Pune Supergiant,BA Stokes,Maharashtra Cricket Association Stadium,Pune,"AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, BA Stokes, MS Dhoni, DT Christian, Washington Sundar, JD Unadkat, SN Thakur, Imran Tahir","Ishan Kishan, BB McCullum, SK Raina, AJ Finch, DR Smith, KD Karthik, RA Jadeja, JP Faulkner, PJ Sangwan, Basil Thampi, Ankit Soni",2017,37,League,wickets,5.0,163.0,20.0,N,Gujarat Lions,Rising Pune Supergiant,0,0,Defending,0,0
Mumbai Indians,Royal Challengers Bengaluru,2017-05-01,Royal Challengers Bengaluru,bat,Mumbai Indians,RG Sharma,Wankhede Stadium,Mumbai,"PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, KV Sharma, HH Pandya, MJ McClenaghan, SL Malinga, JJ Bumrah","V Kohli, Mandeep Singh, TM Head, AB de Villiers, KM Jadhav, SR Watson, P Negi, AF Milne, S Aravind, A Choudhary, YS Chahal",2017,38,League,wickets,5.0,162.0,20.0,N,Royal Challengers Bengaluru,Mumbai Indians,0,1,Defending,0,0
Delhi Capitals,Sunrisers Hyderabad,2017-05-02,Delhi Capitals,field,Delhi Capitals,Mohammed Shami,Feroz Shah Kotla,Delhi,"SV Samson, KK Nair, RR Pant, SS Iyer, CJ Anderson, CH Morris, AD Mathews, J Yadav, K Rabada, A Mishra, Mohammed Shami","DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj",2017,39,League,wickets,6.0,186.0,20.0,N,Sunrisers Hyderabad,Delhi Capitals,0,0,Defending,0,0
Kolkata Knight Riders,Rising Pune Supergiant,2017-05-03,Rising Pune Supergiant,field,Rising Pune Supergiant,RA Tripathi,Eden Gardens,Kolkata,"SP Narine, G Gambhir, SP Jackson, MK Pandey, YK Pathan, C de Grandhomme, SA Yadav, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, BA Stokes, MS Dhoni, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir",2017,40,League,wickets,4.0,156.0,20.0,N,Rising Pune Supergiant,Kolkata Knight Riders,1,1,Chasing,1,1
Delhi Capitals,Gujarat Lions,2017-05-04,Delhi Capitals,field,Delhi Capitals,RR Pant,Feroz Shah Kotla,Delhi,"SV Samson, KK Nair, RR Pant, SS Iyer, CJ Anderson, MN Samuels, PJ Cummins, K Rabada, S Nadeem, A Mishra, Mohammed Shami","DR Smith, BB McCullum, SK Raina, KD Karthik, AJ Finch, Ishan Kishan, RA Jadeja, JP Faulkner, PJ Sangwan, Basil Thampi, Ankit Soni",2017,41,League,wickets,7.0,209.0,20.0,N,Gujarat Lions,Delhi Capitals,0,0,Defending,0,0
Royal Challengers Bengaluru,Punjab Kings,2017-05-05,Royal Challengers Bengaluru,field,Punjab Kings,Sandeep Sharma,M Chinnaswamy Stadium,Bangalore,"Mandeep Singh, CH Gayle, V Kohli, AB de Villiers, KM Jadhav, SR Watson, P Negi, S Aravind, S Badree, A Choudhary, YS Chahal","HM Amla, MJ Guptill, SE Marsh, M Vohra, WP Saha, GJ Maxwell, AR Patel, MM Sharma, VR Aaron, Sandeep Sharma, T Natarajan",2017,42,League,runs,19.0,139.0,20.0,N,Punjab Kings,Royal Challengers Bengaluru,1,0,Defending,0,1
Delhi Capitals,Mumbai Indians,2017-05-06,Delhi Capitals,field,Mumbai Indians,LMP Simmons,Feroz Shah Kotla,Delhi,"SV Samson, KK Nair, SS Iyer, RR Pant, CJ Anderson, MN Samuels, PJ Cummins, K Rabada, A Mishra, Mohammed Shami, Z Khan","LMP Simmons, PA Patel, KA Pollard, RG Sharma, HH Pandya, N Rana, KV Sharma, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah",2017,43,League,runs,12.0,149.0,20.0,N,Mumbai Indians,Delhi Capitals,1,0,Defending,0,1
Sunrisers Hyderabad,Rising Pune Supergiant,2017-05-06,Sunrisers Hyderabad,field,Rising Pune Supergiant,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, NV Ojha, Bipul Sharma, Rashid Khan, B Kumar, S Kaul, A Nehra","AM Rahane, RA Tripathi, SPD Smith, BA Stokes, MS Dhoni, DT Christian, MK Tiwary, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir",2017,44,League,runs,146.0,213.0,20.0,N,Rising Pune Supergiant,Sunrisers Hyderabad,1,0,Defending,0,0
Royal Challengers Bengaluru,Kolkata Knight Riders,2017-05-07,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,M Chinnaswamy Stadium,Bangalore,"CH Gayle, Mandeep Singh, V Kohli, AB de Villiers, TM Head, KM Jadhav, P Negi, S Aravind, S Badree, A Choudhary, YS Chahal","CA Lynn, SP Narine, C de Grandhomme, G Gambhir, MK Pandey, YK Pathan, SP Jackson, CR Woakes, UT Yadav, PP Chawla, AS Rajpoot",2017,45,League,wickets,6.0,159.0,20.0,N,Kolkata Knight Riders,Royal Challengers Bengaluru,1,1,Chasing,1,1
Punjab Kings,Gujarat Lions,2017-05-07,Gujarat Lions,field,Gujarat Lions,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"MJ Guptill, HM Amla, SE Marsh, GJ Maxwell, AR Patel, WP Saha, Gurkeerat Singh, MM Sharma, Sandeep Sharma, VR Aaron, T Natarajan","DR Smith, Ishan Kishan, SK Raina, KD Karthik, AJ Finch, RA Jadeja, JP Faulkner, DS Kulkarni, PJ Sangwan, Basil Thampi, Ankit Soni",2017,46,League,wickets,6.0,190.0,20.0,N,Gujarat Lions,Punjab Kings,1,1,Chasing,1,1
Sunrisers Hyderabad,Mumbai Indians,2017-05-08,Mumbai Indians,bat,Sunrisers Hyderabad,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, V Shankar, Mohammad Nabi, NV Ojha, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj","LMP Simmons, PA Patel, N Rana, RG Sharma, HH Pandya, KA Pollard, KV Sharma, Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga",2017,47,League,wickets,7.0,139.0,20.0,N,Mumbai Indians,Sunrisers Hyderabad,0,1,Defending,0,0
Punjab Kings,Kolkata Knight Riders,2017-05-09,Kolkata Knight Riders,field,Punjab Kings,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"MJ Guptill, M Vohra, SE Marsh, WP Saha, GJ Maxwell, AR Patel, Swapnil Singh, R Tewatia, MJ Henry, MM Sharma, Sandeep Sharma","SP Narine, CA Lynn, G Gambhir, RV Uthappa, MK Pandey, C de Grandhomme, YK Pathan, CR Woakes, UT Yadav, Kuldeep Yadav, AS Rajpoot",2017,48,League,runs,14.0,168.0,20.0,N,Kolkata Knight Riders,Punjab Kings,0,1,Chasing,0,0
Gujarat Lions,Delhi Capitals,2017-05-10,Delhi Capitals,field,Delhi Capitals,SS Iyer,Green Park,Kanpur,"DR Smith, Ishan Kishan, SK Raina, KD Karthik, AJ Finch, RA Jadeja, JP Faulkner, DS Kulkarni, PJ Sangwan, Basil Thampi, Ankit Soni","SV Samson, KK Nair, RR Pant, SS Iyer, MN Samuels, CJ Anderson, CR Brathwaite, PJ Cummins, Mohammed Shami, A Mishra, Z Khan",2017,49,League,wickets,2.0,196.0,20.0,N,Delhi Capitals,Gujarat Lions,1,1,Chasing,1,1
Mumbai Indians,Punjab Kings,2017-05-11,Mumbai Indians,field,Punjab Kings,WP Saha,Wankhede Stadium,Mumbai,"LMP Simmons, PA Patel, N Rana, RG Sharma, KA Pollard, HH Pandya, KV Sharma, Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga","MJ Guptill, WP Saha, GJ Maxwell, SE Marsh, AR Patel, M Vohra, R Tewatia, MM Sharma, Sandeep Sharma, I Sharma, MJ Henry",2017,50,League,runs,7.0,231.0,20.0,N,Punjab Kings,Mumbai Indians,1,0,Defending,0,1
Delhi Capitals,Rising Pune Supergiant,2017-05-12,Delhi Capitals,bat,Delhi Capitals,KK Nair,Feroz Shah Kotla,Delhi,"SV Samson, KK Nair, SS Iyer, RR Pant, MN Samuels, CJ Anderson, PJ Cummins, A Mishra, Mohammed Shami, S Nadeem, Z Khan","AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, BA Stokes, MS Dhoni, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, A Zampa",2017,51,League,runs,7.0,169.0,20.0,N,Rising Pune Supergiant,Delhi Capitals,0,0,Chasing,0,0
Kolkata Knight Riders,Mumbai Indians,2017-05-13,Kolkata Knight Riders,field,Mumbai Indians,AT Rayudu,Eden Gardens,Kolkata,"SP Narine, CA Lynn, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, C de Grandhomme, Kuldeep Yadav, UT Yadav, TA Boult, AS Rajpoot","SS Tiwary, LMP Simmons, RG Sharma, AT Rayudu, KA Pollard, HH Pandya, KH Pandya, KV Sharma, MG Johnson, R Vinay Kumar, TG Southee",2017,52,League,wickets,8.0,155.0,20.0,N,Mumbai Indians,Kolkata Knight Riders,1,0,Defending,0,1
Gujarat Lions,Sunrisers Hyderabad,2017-05-13,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Mohammed Siraj,Green Park,Kanpur,"DR Smith, Ishan Kishan, SK Raina, KD Karthik, AJ Finch, RA Jadeja, JP Faulkner, PJ Sangwan, Ankit Soni, P Kumar, MM Patel","DA Warner, S Dhawan, MC Henriques, V Shankar, DJ Hooda, Mohammad Nabi, NV Ojha, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj",2017,53,League,runs,9.0,174.0,20.0,N,Sunrisers Hyderabad,Gujarat Lions,1,1,Chasing,1,1
Delhi Capitals,Royal Challengers Bengaluru,2017-05-14,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,HV Patel,Feroz Shah Kotla,Delhi,"SV Samson, KK Nair, SS Iyer, RR Pant, MN Samuels, CJ Anderson, PJ Cummins, A Mishra, Mohammed Shami, S Nadeem, Z Khan","CH Gayle, Vishnu Vinod, V Kohli, TM Head, KM Jadhav, Sachin Baby, SR Watson, P Negi, HV Patel, Avesh Khan, YS Chahal",2017,54,League,wickets,9.0,74.0,20.0,N,Royal Challengers Bengaluru,Delhi Capitals,1,1,Defending,1,1
Rising Pune Supergiant,Punjab Kings,2017-05-14,Rising Pune Supergiant,field,Rising Pune Supergiant,JD Unadkat,Maharashtra Cricket Association Stadium,Pune,"AM Rahane, RA Tripathi, SPD Smith, BA Stokes, MK Tiwary, MS Dhoni, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, A Zampa","MJ Guptill, WP Saha, SE Marsh, EJG Morgan, R Tewatia, GJ Maxwell, AR Patel, Swapnil Singh, MM Sharma, I Sharma, Sandeep Sharma",2017,55,League,runs,10.0,162.0,20.0,N,Punjab Kings,Rising Pune Supergiant,0,0,Defending,0,0
Mumbai Indians,Rising Pune Supergiant,2017-05-16,Mumbai Indians,field,Rising Pune Supergiant,Washington Sundar,Wankhede Stadium,Mumbai,"LMP Simmons, PA Patel, RG Sharma, AT Rayudu, KA Pollard, HH Pandya, KH Pandya, MJ McClenaghan, KV Sharma, JJ Bumrah, SL Malinga","AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, MS Dhoni, DT Christian, Washington Sundar, LH Ferguson, A Zampa, SN Thakur, JD Unadkat",2017,56,Qualifier 1,runs,20.0,163.0,20.0,N,Rising Pune Supergiant,Mumbai Indians,1,0,Defending,0,0
Sunrisers Hyderabad,Kolkata Knight Riders,2017-05-17,Kolkata Knight Riders,field,Kolkata Knight Riders,NM Coulter-Nile,M Chinnaswamy Stadium,Bangalore,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, V Shankar, NV Ojha, CJ Jordan, Bipul Sharma, B Kumar, Rashid Khan, S Kaul","RV Uthappa, CA Lynn, YK Pathan, G Gambhir, IR Jaggi, SA Yadav, SP Narine, PP Chawla, UT Yadav, NM Coulter-Nile, TA Boult",2017,57,Eliminator,wickets,7.0,48.0,6.0,N,Kolkata Knight Riders,Sunrisers Hyderabad,1,1,Chasing,1,1
Mumbai Indians,Kolkata Knight Riders,2017-05-19,Mumbai Indians,field,Mumbai Indians,KV Sharma,M Chinnaswamy Stadium,Bangalore,"LMP Simmons, PA Patel, AT Rayudu, RG Sharma, KH Pandya, KA Pollard, HH Pandya, MG Johnson, KV Sharma, JJ Bumrah, SL Malinga","CA Lynn, SP Narine, G Gambhir, RV Uthappa, IR Jaggi, C de Grandhomme, SA Yadav, PP Chawla, NM Coulter-Nile, UT Yadav, AS Rajpoot",2017,58,Qualifier 2,wickets,6.0,108.0,20.0,N,Kolkata Knight Riders,Mumbai Indians,0,0,Defending,0,0
Mumbai Indians,Rising Pune Supergiant,2017-05-21,Mumbai Indians,bat,Mumbai Indians,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"LMP Simmons, PA Patel, AT Rayudu, RG Sharma, KH Pandya, KA Pollard, HH Pandya, KV Sharma, MG Johnson, JJ Bumrah, SL Malinga","AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, MK Tiwary, DT Christian, Washington Sundar, LH Ferguson, A Zampa, SN Thakur, JD Unadkat",2017,59,Final,runs,1.0,130.0,20.0,N,Rising Pune Supergiant,Mumbai Indians,0,0,Chasing,0,0
Mumbai Indians,Chennai Super Kings,2018-04-07,Chennai Super Kings,field,Chennai Super Kings,DJ Bravo,Wankhede Stadium,Mumbai,"RG Sharma, E Lewis, Ishan Kishan, SA Yadav, HH Pandya, KH Pandya, KA Pollard, JJ Bumrah, MJ McClenaghan, Mustafizur Rahman, M Markande","SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni, RA Jadeja, DJ Bravo, DL Chahar, Harbhajan Singh, MA Wood, Imran Tahir",2018,1,League,wickets,1.0,166.0,20.0,N,Chennai Super Kings,Mumbai Indians,1,1,Chasing,1,1
Delhi Capitals,Punjab Kings,2018-04-08,Punjab Kings,field,Punjab Kings,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"C Munro, G Gambhir, SS Iyer, V Shankar, RR Pant, R Tewatia, CH Morris, DT Christian, A Mishra, TA Boult, Mohammed Shami","KL Rahul, MA Agarwal, Yuvraj Singh, KK Nair, DA Miller, MP Stoinis, AR Patel, R Ashwin, AJ Tye, MM Sharma, Mujeeb Ur Rahman",2018,2,League,wickets,6.0,167.0,20.0,N,Punjab Kings,Delhi Capitals,1,1,Chasing,1,1
Royal Challengers Bengaluru,Kolkata Knight Riders,2018-04-08,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Eden Gardens,Kolkata,"BB McCullum, Q de Kock, V Kohli, AB de Villiers, SN Khan, Mandeep Singh, CR Woakes, Washington Sundar, UT Yadav, K Khejroliya, YS Chahal","SP Narine, CA Lynn, RV Uthappa, N Rana, KD Karthik, RK Singh, AD Russell, R Vinay Kumar, PP Chawla, MG Johnson, Kuldeep Yadav",2018,3,League,wickets,4.0,177.0,20.0,N,Kolkata Knight Riders,Royal Challengers Bengaluru,1,1,Chasing,1,1
